      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
         0  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000               0               0
         1  1.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         2  2.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         3  3.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         4  4.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         5  5.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         6  6.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         7  7.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         8  8.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
         9  9.000000000000000E+000  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        10  1.000000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        11  1.100000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        12  1.200000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        13  1.300000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        14  1.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        15  1.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        16  1.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        17  1.700000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        18  1.800000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        19  1.900000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        20  2.000000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        21  2.100000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        22  2.200000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        23  2.300000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        24  2.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        25  2.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        26  2.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        27  2.700000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        28  2.800000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        29  2.900000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        30  3.000000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        31  3.100000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        32  3.200000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        33  3.300000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        34  3.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        35  3.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        36  3.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        37  3.700000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        38  3.800000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        39  3.900000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        40  4.000000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        41  4.100000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        42  4.200000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        43  4.300000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        44  4.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        45  4.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        46  4.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        47  4.700000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        48  4.800000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        49  4.900000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        50  5.000000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        51  5.100000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        52  5.200000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        53  5.300000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        54  5.400000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        55  5.500000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
        56  5.600000000000000E+001  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
