      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
         0  0.000000000000000E+000 -1.424039803492147E+000  1.424039803492146E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141230E+020  6.557520501392247E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606997250618E-002  8.282694482977908E-019  1.956641905985291E-017
         1  1.000000000000000E+000 -1.423694153075690E+000  1.424190115435762E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.557520501392246E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606983623302E-002  3.364844633709775E-019  4.894743903450342E-005
         2  2.000000000000000E+000 -1.424306540850833E+000  1.423314927999221E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.557520501392246E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606969995993E-002  8.412111584274438E-019  9.787291747537929E-005
         3  3.000000000000000E+000 -1.422902176828450E+000  1.424389093975148E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.557520501392246E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606956368696E-002  5.500226805102517E-019  1.467764623582118E-004
         4  4.000000000000000E+000 -1.424437791386053E+000  1.422455950374982E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.557520501392246E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606942741406E-002  2.588342025930596E-020  1.956581006564650E-004
         5  5.000000000000000E+000 -1.421976301686841E+000  1.424452651994559E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141228E+020  6.557520501392246E+018 -6.557520501392245E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606929114126E-002  1.423588114261828E-019  2.445178592815556E-004
         6  6.000000000000000E+000 -1.424433697039192E+000  1.421463286038773E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  6.557520501392245E+018 -6.557520501392245E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606915486855E-002 -6.470855064826490E-020  2.933557650829764E-004
         7  7.000000000000000E+000 -1.420916960922340E+000  1.424380950079615E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141229E+020  6.557520501392244E+018 -6.557520501392245E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606901859593E-002  4.141347241488954E-019  3.421718448488955E-004
         8  8.000000000000000E+000 -1.424294436990001E+000  1.421002434647311E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  6.557520501392244E+018 -6.557520501392244E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606888232341E-002 -2.588342025930596E-019  3.909661253057225E-004
         9  9.000000000000000E+000 -1.421377309275669E+000  1.424174185952182E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  6.557520501392244E+018 -6.557520501392244E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606874605097E-002  2.911884779171921E-019  4.397386331190096E-004
