      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
         0  0.000000000000000E+000 -1.424039803492147E+000  1.424039803492146E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141230E+020  6.557520501392247E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606997250618E-002  8.282694482977908E-019  1.956641905985291E-017
         1  1.000000000000000E+000 -1.420505109758823E+000  1.420999938068986E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.245522601833191E+018 -6.245522601833190E+018  6.967484174972868E-031 -6.967484174972868E-031  3.989223162302474E+021  3.989223162302476E+021  3.141925822203555E-002  3.753095937599365E-019  5.020527649538330E-005
         2  2.000000000000000E+000 -1.417416799365034E+000  1.416430038479078E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.946388779910673E+018 -5.946388779910673E+018  3.736410120086709E-031 -3.736410120086708E-031  3.989223162302474E+021  3.989223162302476E+021  3.149227479385356E-002  1.941256519447947E-019  1.003938808596185E-004
         3  3.000000000000000E+000 -1.411819384428286E+000  1.413294623660439E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.659693965354105E+018 -5.659693965354105E+018  1.740362967501544E-031 -1.740362967501542E-031  3.989223162302474E+021  3.989223162302476E+021  3.156511928896281E-002 -4.141347241488954E-019  1.505658252759785E-004
         4  4.000000000000000E+000 -1.408638259909553E+000  1.406678547392081E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.385021871549027E+018 -5.385021871549027E+018  6.373326368886843E-032 -6.373326368886716E-032  3.989223162302474E+021  3.989223162302476E+021  3.163779130930636E-002 -1.294171012965298E-020  2.007211217707553E-004
         5  5.000000000000000E+000 -1.402551244377344E+000  1.404993722273089E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  5.121965072237994E+018 -5.121965072237996E+018  1.277399936820657E-032 -1.277399936820045E-032  3.989223162302474E+021  3.989223162302476E+021  3.171029045776987E-002 -4.529598545378543E-019  2.508597822247987E-004
         6  6.000000000000000E+000 -1.403109426198123E+000  1.400183563136261E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.870125062515991E+018 -4.870125062515990E+018  3.463485003977176E-033 -3.463485003958102E-033  3.989223162302474E+021  3.989223162302476E+021  3.178261633818372E-002  6.600272166123020E-019  3.009818183838383E-004
         7  7.000000000000000E+000 -1.397278267065853E+000  1.400684503515663E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.629112304672075E+018 -4.629112304672075E+018  3.496249881300014E-033 -3.496249881253785E-033  3.989223162302474E+021  3.989223162302476E+021  3.185476855532525E-002  2.782467677875391E-019  3.510872418682929E-004
         8  8.000000000000000E+000 -1.397721857729532E+000  1.394491127009560E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.398546259437566E+018 -4.398546259437565E+018  5.137593640574616E-034 -5.137593639642980E-034  3.989223162302474E+021  3.989223162302476E+021  3.192674671492089E-002  4.464889994730279E-019  4.011760641812088E-004
         9  9.000000000000000E+000 -1.391486744623580E+000  1.394225009838583E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.178055403207843E+018 -4.178055403207843E+018  2.016774225155333E-033 -2.016774225031240E-033  3.989223162302474E+021  3.989223162302476E+021  3.199855042364828E-002 -2.200090722041007E-019  4.512482967170584E-004
        10  1.000000000000000E+001 -1.390198091286869E+000  1.387950663377713E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141227E+020  3.967277231810107E+018 -3.967277231810107E+018  3.071280941863282E-034 -3.071280943807106E-034  3.989223162302474E+021  3.989223162302476E+021  3.207017928913845E-002  6.470855064826490E-020  5.013039507687426E-004
        11  1.100000000000000E+001 -1.383887059594848E+000  1.385645835757386E+000  0.000000000000000E+000  4.565513240142981E+020 -4.565513240142981E+020  3.765858251568314E+018 -3.765858251568314E+018  3.659407478135773E-033 -3.659407480530675E-033  3.989223162302474E+021  3.989223162302476E+021  3.214163291997797E-002  4.917849849268133E-019  5.513430375346758E-004
        12  1.200000000000000E+001 -1.381002451875898E+000  1.379729572740609E+000  0.000000000000000E+000  4.565513240158480E+020 -4.565513240158479E+020  3.573453958740787E+018 -3.573453958740787E+018  5.102350817705744E-033 -5.102350828945973E-033  3.989223162302474E+021  3.989223162302476E+021  3.221291092571103E-002  3.623678836302835E-019  6.013655681251886E-004
        13  1.300000000000000E+001 -1.378385452686715E+000  1.379177679112786E+000  0.000000000000000E+000  4.565513240167812E+020 -4.565513240167812E+020  3.389728802173267E+018 -3.389728802173266E+018  2.190413824306055E-033 -2.190413861583277E-033  3.989223162302474E+021  3.989223162302476E+021  3.228401291684167E-002  1.423588114261828E-019  6.513715535689135E-004
        14  1.400000000000000E+001 -1.376821712530293E+000  1.376508939619137E+000  0.000000000000000E+000  4.565513240172544E+020 -4.565513240172544E+020  3.214356144360051E+018 -3.214356144360051E+018  8.282400835025006E-033 -8.282400930517697E-033  3.989223162302474E+021  3.989223162302476E+021  3.235493850483581E-002  6.470855064826490E-019  7.013610048185584E-004
        15  1.500000000000000E+001 -1.374102300680619E+000  1.373937371391968E+000  0.000000000000000E+000  4.565513240173944E+020 -4.565513240173944E+020  3.047018204418672E+018 -3.047018204418672E+018  1.976202866680338E-032 -1.976202885451947E-032  3.989223162302474E+021  3.989223162302476E+021  3.242568730212343E-002 -1.164753911668768E-019  7.513339327563579E-004
        16  1.600000000000000E+001 -1.370528081417933E+000  1.371168413805236E+000  0.000000000000000E+000  4.565513240173017E+020 -4.565513240173017E+020  2.887405993249736E+018 -2.887405993249735E+018  2.534058162141096E-032 -2.534058186659990E-032  3.989223162302474E+021  3.989223162302476E+021  3.249625892210065E-002  1.553005215558358E-019  8.012903481994998E-004
        17  1.700000000000000E+001 -1.367710761907740E+000  1.366597867931189E+000  0.000000000000000E+000  4.565513240170555E+020 -4.565513240170554E+020  2.735219239264899E+018 -2.735219239264899E+018  1.762207540275200E-032 -1.762207540201365E-032  3.989223162302474E+021  3.989223162302476E+021  3.256665297913186E-002  4.659015646675073E-019  8.512302619050688E-004
        18  1.800000000000000E+001 -1.362151347868652E+000  1.363733425921636E+000  0.000000000000000E+000  4.565513240167170E+020 -4.565513240167170E+020  2.590166305243722E+018 -2.590166305243722E+018  2.839754948816856E-032 -2.839754824471898E-032  3.989223162302474E+021  3.989223162302476E+021  3.263686908855186E-002  4.141347241488954E-019  9.011536845748175E-004
