      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
         0  0.000000000000000E+000 -1.424039803492147E+000  1.424039803492146E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141230E+020  6.557520501392247E+018 -6.557520501392246E+018  1.180392334810425E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606997250618E-002  8.282694482977908E-019  1.956641905985291E-017
         1  1.000000000000000E+000 -1.420850363382197E+000  1.420850363382197E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  6.245522601833249E+018 -6.245522601833250E+018  6.967484174972868E-031 -6.967484174972868E-031  3.989223162302474E+021  3.989223162302476E+021  3.141925836046359E-002 -4.270764342785484E-019  8.863896610338702E-006
         2  2.000000000000000E+000 -1.417152154212786E+000  1.417152154212786E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.946388779910832E+018 -5.946388779910832E+018  3.736410120086710E-031 -3.736410120086709E-031  3.989223162302474E+021  3.989223162302476E+021  3.149227507135331E-002  2.588342025930596E-020  1.773646056208822E-005
         3  3.000000000000000E+000 -1.412949254769731E+000  1.412949254769731E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.659693965354395E+018 -5.659693965354396E+018  1.740362967501421E-031 -1.740362967501416E-031  3.989223162302474E+021  3.989223162302476E+021  3.156511970617567E-002 -3.753095937599365E-019  2.661772439336912E-005
         4  4.000000000000000E+000 -1.408246281074697E+000  1.408246281074697E+000  0.000000000000000E+000  4.565513240141229E+020 -4.565513240141229E+020  5.385021871549474E+018 -5.385021871549474E+018  6.373326333560808E-032 -6.373326333560656E-032  3.989223162302474E+021  3.989223162302476E+021  3.163779186687146E-002  1.811839418151417E-019  3.550771862004909E-005
         5  5.000000000000000E+000 -1.404588414172112E+000  1.404588414172112E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  5.121965072238611E+018 -5.121965072238611E+018  1.277269391463563E-032 -1.277269391463260E-032  3.989223162302474E+021  3.989223162302476E+021  3.171029115632400E-002 -1.164753911668768E-019  4.440647182395641E-005
         6  6.000000000000000E+000 -1.402723720277460E+000  1.402723720277460E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.870125062516782E+018 -4.870125062516781E+018  3.463485003561487E-033 -3.463485003556514E-033  3.989223162302474E+021  3.989223162302476E+021  3.178261717836143E-002 -3.106010431116715E-019  5.331401073373792E-005
         7  7.000000000000000E+000 -1.400351709747609E+000  1.400351709747609E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.629112304673044E+018 -4.629112304673044E+018  3.496078326218822E-033 -3.496078326205903E-033  3.989223162302474E+021  3.989223162302476E+021  3.185476953775877E-002  1.423588114261828E-019  6.223036029945442E-005
         8  8.000000000000000E+000 -1.397475031921673E+000  1.397475031921673E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.398546259438711E+018 -4.398546259438711E+018  4.303629434954266E-034 -4.303629434408549E-034  3.989223162302474E+021  3.989223162302476E+021  3.192674784024011E-002 -3.106010431116715E-019  7.115554376263039E-005
         9  9.000000000000000E+000 -1.394096880271228E+000  1.394096880271228E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  4.178055403209156E+018 -4.178055403209156E+018  2.016389437225690E-033 -2.016389437055287E-033  3.989223162302474E+021  3.989223162302476E+021  3.199855169248082E-002 -3.494261735006305E-019  8.008958272203566E-005
        10  1.000000000000000E+001 -1.390220986413957E+000  1.390220986413957E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141227E+020  3.967277231811577E+018 -3.967277231811576E+018  3.071280426523989E-034 -3.071280424769554E-034  3.989223162302474E+021  3.989223162302476E+021  3.207018070210958E-002 -3.882513038895894E-020  8.903249719590706E-005
        11  1.100000000000000E+001 -1.385851613169946E+000  1.385851613169946E+000  0.000000000000000E+000  4.565513240142981E+020 -4.565513240142981E+020  3.765858251569925E+018 -3.765858251569925E+018  3.659407478688859E-033 -3.659407479995700E-033  3.989223162302474E+021  3.989223162302476E+021  3.214163447771062E-002 -5.953186659640371E-019  9.798430568114818E-005
        12  1.200000000000000E+001 -1.381422535553061E+000  1.381422535553061E+000  0.000000000000000E+000  4.565513240158480E+020 -4.565513240158481E+020  3.573453958742525E+018 -3.573453958742525E+018  5.102350817921689E-033 -5.102350827054138E-033  3.989223162302474E+021  3.989223162302476E+021  3.221291262882583E-002  1.294171012965298E-020  1.069450252101670E-004
        13  1.300000000000000E+001 -1.379844619588707E+000  1.379844619588707E+000  0.000000000000000E+000  4.565513240167812E+020 -4.565513240167812E+020  3.389728802175115E+018 -3.389728802175115E+018  2.190412380498515E-033 -2.190412415260307E-033  3.989223162302474E+021  3.989223162302476E+021  3.228401476595687E-002 -2.976593329820186E-019  1.159146714046456E-004
        14  1.400000000000000E+001 -1.377767073493615E+000  1.377767073493615E+000  0.000000000000000E+000  4.565513240172544E+020 -4.565513240172544E+020  3.214356144361992E+018 -3.214356144361992E+018  8.282400843105234E-033 -8.282400939029868E-033  3.989223162302474E+021  3.989223162302476E+021  3.235494050056733E-002 -3.235427532413245E-019  1.248932585275996E-004
        15  1.500000000000000E+001 -1.375192224804544E+000  1.375192224804543E+000  0.000000000000000E+000  4.565513240173943E+020 -4.565513240173944E+020  3.047018204420687E+018 -3.047018204420687E+018  1.976202858249421E-032 -1.976202878320104E-032  3.989223162302474E+021  3.989223162302476E+021  3.242568944508481E-002 -1.294171012965298E-020  1.338807995331754E-004
