      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
         0  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.411307628373300E-001               0               0
         2  5.000000000000000E-001  2.500000000000000E-001  9.803339217913255E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
         4  1.000000000000000E+000  2.500000000000000E-001  9.803342531650857E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
         6  1.500000000000000E+000  2.500000000000000E-001  9.803345845031311E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
         8  2.000000000000000E+000  2.500000000000000E-001  9.803349158004016E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        10  2.500000000000000E+000  2.500000000000000E-001  9.803352470626608E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        12  3.000000000000000E+000  2.500000000000000E-001  9.803355782911092E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        14  3.500000000000000E+000  2.500000000000000E-001  9.803359094890755E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        16  4.000000000000000E+000  2.500000000000000E-001  9.803362406763085E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        18  4.500000000000000E+000  2.500000000000000E-001  9.803365719244388E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        20  5.000000000000000E+000  2.500000000000000E-001  9.803369034181863E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        22  5.500000000000000E+000  2.500000000000000E-001  9.803372355323621E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        24  6.000000000000000E+000  2.500000000000000E-001  9.803375689059649E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        26  6.500000000000000E+000  2.500000000000000E-001  9.803379044958536E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        28  7.000000000000000E+000  2.500000000000000E-001  9.803382435969944E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        30  7.500000000000000E+000  2.500000000000000E-001  9.803385878265273E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        32  8.000000000000000E+000  2.500000000000000E-001  9.803389390778122E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        34  8.500000000000000E+000  2.500000000000000E-001  9.803392926018514E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        36  9.000000000000000E+000  2.500000000000000E-001  9.803396526879764E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        38  9.500000000000000E+000  2.500000000000000E-001  9.803400204711386E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        40  1.000000000000000E+001  2.500000000000000E-001  9.803403971242327E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        42  1.050000000000000E+001  2.500000000000000E-001  9.803407839615707E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        44  1.100000000000000E+001  2.500000000000000E-001  9.803411820553707E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        46  1.150000000000000E+001  2.500000000000000E-001  9.803415921589639E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        48  1.200000000000000E+001  2.500000000000000E-001  9.803420152244883E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        50  1.250000000000000E+001  2.500000000000000E-001  9.803424523104562E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        52  1.300000000000000E+001  2.500000000000000E-001  9.803429044100540E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        54  1.350000000000000E+001  2.500000000000000E-001  9.803433766325178E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        56  1.400000000000000E+001  2.500000000000000E-001  9.803438779799565E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        58  1.450000000000000E+001  2.500000000000000E-001  9.803444001308122E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        60  1.500000000000000E+001  2.500000000000000E-001  9.803449437464547E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        62  1.550000000000000E+001  2.500000000000000E-001  9.803455093169990E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        64  1.600000000000000E+001  2.500000000000000E-001  9.803460835800074E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        66  1.650000000000000E+001  2.500000000000000E-001  9.803466456093584E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        68  1.700000000000000E+001  2.500000000000000E-001  9.803472232564390E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        70  1.750000000000000E+001  2.500000000000000E-001  9.803478170009335E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        72  1.800000000000000E+001  2.500000000000000E-001  9.803484273024800E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        74  1.850000000000000E+001  2.500000000000000E-001  9.803490544323360E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        76  1.900000000000000E+001  2.500000000000000E-001  9.803497266383657E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        78  1.950000000000000E+001  2.500000000000000E-001  9.803504229210215E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        80  2.000000000000000E+001  2.500000000000000E-001  9.803511390596420E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        82  2.050000000000000E+001  2.500000000000000E-001  9.803518748071914E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        84  2.100000000000000E+001  2.500000000000000E-001  9.803526297470468E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        86  2.150000000000000E+001  2.500000000000000E-001  9.803534034731991E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        88  2.200000000000000E+001  2.500000000000000E-001  9.803541958849639E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        90  2.250000000000000E+001  2.500000000000000E-001  9.803550068990381E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        92  2.300000000000000E+001  2.500000000000000E-001  9.803558362325262E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        94  2.350000000000000E+001  2.500000000000000E-001  9.803566834696760E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
