      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
         0  0.000000000000000E+000 -5.650067022841824E-001  1.017107236282047E+000  1.549522768897337E-005  1.091959733530610E+022 -1.091880323529899E+022  9.101118331563500E+020 -4.308723888193755E+020  9.101118592898306E+020 -4.308724149528566E+020  3.989223162302474E+021  3.989223162302476E+021  2.414799654497237E-018  4.503715125119238E-017  1.605325145784089E-015
         1  1.000000000000000E+000 -5.649349912432069E-001  1.016980359005119E+000  2.844101311313202E-005  1.091821366016592E+022 -1.091741956015881E+022  9.099983827805303E+020 -4.308186599141438E+020  9.099983719160705E+020 -4.308186490496848E+020  3.989223162302474E+021  3.989223162302476E+021  1.764482460112089E-017  4.705605803141824E-017  2.542757605393317E-002
         1  1.000000000000000E+000 -5.649349912432069E-001  1.016980359005119E+000  2.844101311313202E-005  1.091821366016592E+022 -1.091741956015881E+022  9.099983827805303E+020 -4.308186599141438E+020  9.099983719160705E+020 -4.308186490496848E+020  3.989223162302474E+021  3.989223162302476E+021  1.764482460112089E-017  4.705605803141824E-017  2.542757605393317E-002
         2  2.000000000000000E+000 -5.648641760144120E-001  1.016853499536628E+000  1.229873936568496E-005  1.091683535695293E+022 -1.091604125694582E+022  9.098849250613592E+020 -4.307649162190968E+020  9.098849123558140E+020 -4.307649035135521E+020  3.989223162302474E+021  3.989223162302476E+021  5.472222736478381E-017  3.162953955687189E-017  5.086493182621653E-002
         2  2.000000000000000E+000 -5.648641760144120E-001  1.016853499536628E+000  1.229873936568496E-005  1.091683535695293E+022 -1.091604125694582E+022  9.098849250613592E+020 -4.307649162190968E+020  9.098849123558140E+020 -4.307649035135521E+020  3.989223162302474E+021  3.989223162302476E+021  5.472222736478381E-017  3.162953955687189E-017  5.086493182621653E-002
         3  3.000000000000000E+000 -5.647939041407108E-001  1.016726657790133E+000  6.375692076409960E-006  1.091546180704704E+022 -1.091466770703992E+022  9.097714581927203E+020 -4.307111559290457E+020  9.097714842865508E+020 -4.307111820228771E+020  3.989223162302474E+021  3.989223162302476E+021  5.664153490645270E-017  4.058520296659175E-017  7.632042014329800E-002
         3  3.000000000000000E+000 -5.647939041407108E-001  1.016726657790133E+000  6.375692076409960E-006  1.091546180704704E+022 -1.091466770703992E+022  9.097714581927203E+020 -4.307111559290457E+020  9.097714842865508E+020 -4.307111820228771E+020  3.989223162302474E+021  3.989223162302476E+021  5.664153490645270E-017  4.058520296659175E-017  7.632042014329800E-002
         4  4.000000000000000E+000 -5.647220996174822E-001  1.016599833682920E+000  2.218963996158206E-005  1.091407845488931E+022 -1.091328435488221E+022  9.096580495929218E+020 -4.306574464632280E+020  9.096580405745949E+020 -4.306574374449016E+020  3.989223162302474E+021  3.989223162302476E+021  5.628615020800733E-017  5.130093895394442E-017  1.018007728590193E-001
         4  4.000000000000000E+000 -5.647220996174822E-001  1.016599833682920E+000  2.218963996158206E-005  1.091407845488931E+022 -1.091328435488221E+022  9.096580495929218E+020 -4.306574464632280E+020  9.096580405745949E+020 -4.306574374449016E+020  3.989223162302474E+021  3.989223162302476E+021  5.628615020800733E-017  5.130093895394442E-017  1.018007728590193E-001
         5  5.000000000000000E+000 -5.646515426216706E-001  1.016473027135822E+000  1.707991942972714E-005  1.091270112530340E+022 -1.091190702529629E+022  9.095446355242914E+020 -4.306037240848990E+020  9.095446209818203E+020 -4.306037095424286E+020  3.989223162302474E+021  3.989223162302476E+021  4.889772008823455E-017  5.968716711795955E-017  1.273110642679124E-001
         5  5.000000000000000E+000 -5.646515426216706E-001  1.016473027135822E+000  1.707991942972714E-005  1.091270112530340E+022 -1.091190702529629E+022  9.095446355242914E+020 -4.306037240848990E+020  9.095446209818203E+020 -4.306037095424286E+020  3.989223162302474E+021  3.989223162302476E+021  4.889772008823455E-017  5.968716711795955E-017  1.273110642679124E-001
         6  6.000000000000000E+000 -5.645811767319746E-001  1.016346238073056E+000  8.724275891137440E-006  1.091132778198100E+022 -1.091053368197389E+022  9.094312104977360E+020 -4.305499833058943E+020  9.094312365518250E+020 -4.305500093599840E+020  3.989223162302474E+021  3.989223162302476E+021  4.838657410712336E-017  6.056720340677595E-017  1.528546971740955E-001
         6  6.000000000000000E+000 -5.645811767319746E-001  1.016346238073056E+000  8.724275891137440E-006  1.091132778198100E+022 -1.091053368197389E+022  9.094312104977360E+020 -4.305499833058943E+020  9.094312365518250E+020 -4.305500093599840E+020  3.989223162302474E+021  3.989223162302476E+021  4.838657410712336E-017  6.056720340677595E-017  1.528546971740955E-001
         7  7.000000000000000E+000 -5.645092788097120E-001  1.016219466422071E+000  1.372468745337634E-005  1.090994490000557E+022 -1.090915079999845E+022  9.093178436584775E+020 -4.304962932723637E+020  9.093178364848800E+020 -4.304962860987670E+020  3.989223162302474E+021  3.989223162302476E+021  5.612786112865185E-017  7.801262866154817E-017  1.784333847603939E-001
         7  7.000000000000000E+000 -5.645092788097120E-001  1.016219466422071E+000  1.372468745337634E-005  1.090994490000557E+022 -1.090915079999845E+022  9.093178436584775E+020 -4.304962932723637E+020  9.093178364848800E+020 -4.304962860987670E+020  3.989223162302474E+021  3.989223162302476E+021  5.612786112865185E-017  7.801262866154817E-017  1.784333847603939E-001
         8  8.000000000000000E+000 -5.644389798609378E-001  1.016092712113428E+000  3.653923808514240E-006  1.090856869686506E+022 -1.090777459685795E+022  9.092044732235975E+020 -4.304425922023171E+020  9.092044568456017E+020 -4.304425758243219E+020  3.989223162302474E+021  3.989223162302476E+021  5.691311519714793E-017  7.702905869169454E-017  2.040470704905478E-001
         8  8.000000000000000E+000 -5.644389798609378E-001  1.016092712113428E+000  3.653923808514240E-006  1.090856869686506E+022 -1.090777459685795E+022  9.092044732235975E+020 -4.304425922023171E+020  9.092044568456017E+020 -4.304425758243219E+020  3.989223162302474E+021  3.989223162302476E+021  5.691311519714793E-017  7.702905869169454E-017  2.040470704905478E-001
         9  9.000000000000000E+000 -5.643685200385846E-001  1.015965975080631E+000  5.342988689702158E-006  1.090719536784554E+022 -1.090640126783842E+022  9.090910900238324E+020 -4.303888709274182E+020  9.090911160380878E+020 -4.303888969416745E+020  3.989223162302474E+021  3.989223162302476E+021  3.718286428738363E-017  8.029036964436710E-017  2.296939560500511E-001
         9  9.000000000000000E+000 -5.643685200385846E-001  1.015965975080631E+000  5.342988689702158E-006  1.090719536784554E+022 -1.090640126783842E+022  9.090910900238324E+020 -4.303888709274182E+020  9.090911160380878E+020 -4.303888969416745E+020  3.989223162302474E+021  3.989223162302476E+021  3.718286428738363E-017  8.029036964436710E-017  2.296939560500511E-001
        10  1.000000000000000E+001 -5.642965288004823E-001  1.015839255259991E+000  2.711127293076767E-006  1.090581322498250E+022 -1.090501912497538E+022  9.089777649296374E+020 -4.303352003190507E+020  9.089777595993666E+020 -4.303351949887807E+020  3.989223162302474E+021  3.989223162302476E+021  2.939631898674394E-017  7.081703782946111E-017  2.553704654473086E-001
        10  1.000000000000000E+001 -5.642965288004823E-001  1.015839255259991E+000  2.711127293076767E-006  1.090581322498250E+022 -1.090501912497538E+022  9.089777649296374E+020 -4.303352003190507E+020  9.089777595993666E+020 -4.303351949887807E+020  3.989223162302474E+021  3.989223162302476E+021  2.939631898674394E-017  7.081703782946111E-017  2.553704654473086E-001
        11  1.100000000000000E+001 -5.642264877128510E-001  1.015712552590556E+000  4.187768483420677E-006  1.090443795445108E+022 -1.090364385444397E+022  9.088644381117249E+020 -4.302815205488539E+020  9.088644198996045E+020 -4.302815023367345E+020  3.989223162302474E+021  3.989223162302476E+021  2.183088130732421E-017  6.388028119996711E-017  2.810711326078737E-001
