      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
         0  0.000000000000000E+000 -5.650067022841824E-001  1.017107236282047E+000  1.549522768897386E-005  1.091959733530610E+022 -1.091880323529898E+022  9.101118331563500E+020 -4.308723888193755E+020  9.101118592898306E+020 -4.308724149528566E+020  3.989223162302474E+021  3.989223162302476E+021  4.834036240852604E-018  4.348414603563402E-017  1.605325145784089E-015
         1  1.000000000000000E+000 -5.649890827766592E-001  1.017075515287468E+000  1.549690733206839E-005  1.091925679328537E+022 -1.091846269327826E+022  9.100834643214324E+020 -4.308589510502710E+020  9.100834904529430E+020 -4.308589771817822E+020  3.989223162302474E+021  3.989223162302476E+021  4.804007426506562E-018  4.741842591504852E-017  3.192509259606863E-008
         1  1.000000000000000E+000 -5.649890827766592E-001  1.017075515287468E+000  1.549690733206839E-005  1.091925679328537E+022 -1.091846269327826E+022  9.100834643214324E+020 -4.308589510502710E+020  9.100834904529430E+020 -4.308589771817822E+020  3.989223162302474E+021  3.989223162302476E+021  4.804007426506562E-018  4.741842591504852E-017  3.192509259606863E-008
         2  2.000000000000000E+000 -5.649714638185790E-001  1.017043795410133E+000  1.549858698847414E-005  1.091891626188521E+022 -1.091812216187809E+022  9.100550963709313E+020 -4.308455137001354E+020  9.100551225004720E+020 -4.308455398296769E+020  3.989223162302474E+021  3.989223162302476E+021  2.317975535557957E-017  2.790232703953183E-017  6.385392748670313E-008
         2  2.000000000000000E+000 -5.649714638185790E-001  1.017043795410133E+000  1.549858698847414E-005  1.091891626188521E+022 -1.091812216187809E+022  9.100550963709313E+020 -4.308455137001354E+020  9.100551225004720E+020 -4.308455398296769E+020  3.989223162302474E+021  3.989223162302476E+021  2.317975535557957E-017  2.790232703953183E-017  6.385392748670313E-008
         3  3.000000000000000E+000 -5.649538454099174E-001  1.017012076648618E+000  1.550026665817862E-005  1.091857574110527E+022 -1.091778164109816E+022  9.100267293048188E+020 -4.308320767689557E+020  9.100267554323899E+020 -4.308321028965274E+020  3.989223162302474E+021  3.989223162302476E+021  2.000130309893279E-017  3.597795416043529E-017  9.578648297519921E-008
         3  3.000000000000000E+000 -5.649538454099174E-001  1.017012076648618E+000  1.550026665817862E-005  1.091857574110527E+022 -1.091778164109816E+022  9.100267293048188E+020 -4.308320767689557E+020  9.100267554323899E+020 -4.308321028965274E+020  3.989223162302474E+021  3.989223162302476E+021  2.000130309893279E-017  3.597795416043529E-017  9.578648297519921E-008
         4  4.000000000000000E+000 -5.649362275506689E-001  1.016980359001512E+000  1.550194634117167E-005  1.091823523094524E+022 -1.091744113093813E+022  9.099983631230678E+020 -4.308186402567187E+020  9.099983892486693E+020 -4.308186663823207E+020  3.989223162302474E+021  3.989223162302476E+021  1.326847844872002E-017  6.781456107938162E-018  1.277227379058089E-007
         4  4.000000000000000E+000 -5.649362275506689E-001  1.016980359001512E+000  1.550194634117167E-005  1.091823523094524E+022 -1.091744113093813E+022  9.099983631230678E+020 -4.308186402567187E+020  9.099983892486693E+020 -4.308186663823207E+020  3.989223162302474E+021  3.989223162302476E+021  1.326847844872002E-017  6.781456107938162E-018  1.277227379058089E-007
         5  5.000000000000000E+000 -5.649186102408111E-001  1.016948642467439E+000  1.550362603743993E-005  1.091789473140478E+022 -1.091710063139767E+022  9.099699978256506E+020 -4.308052041634114E+020  9.099700239492822E+020 -4.308052302870437E+020  3.989223162302474E+021  3.989223162302476E+021  4.730027745515904E-017  5.383751413935640E-018  1.596626714202160E-007
